ability;Fähigkeit, Eignung, Können;She demonstrates her ability in every task.;Sie zeigt ihre Fähigkeit in jeder Aufgabe.
action;Handlung, Tat, Aktion;He takes action when necessary.;Er handelt, wenn es notwendig ist.
activity;Beschäftigung, Aktivität;The children start the activity at noon.;Die Kinder beginnen die Aktivität um zwölf Uhr.
address;Adresse;Please write your address on the form.;Bitte schreibe deine Adresse auf das Formular.
adult;Erwachsener;Every adult pays the full price.;Jeder Erwachsene zahlt den vollen Preis.
age;Alter;She celebrates her age with pride.;Sie feiert ihr Alter mit Stolz.
agreement;Zustimmung, Einigung, Vereinbarung;They reach an agreement quickly.;Sie erzielen schnell eine Einigung.
air;Luft;Birds fly in the clean air.;Vögel fliegen in der sauberen Luft.
airport;Flughafen;The plane lands at the airport on time.;Das Flugzeug landet pünktlich am Flughafen.
amount;Menge, Umfang, Betrag;The amount of water is sufficient.;Die Menge Wasser ist ausreichend.
animal;Tier;The animal lives in the forest.;Das Tier lebt im Wald.
answer;Antwort;She gives a clear answer.;Sie gibt eine klare Antwort.
area;Gegend, Gebiet;The area is full of green trees.;Das Gebiet ist voller grüner Bäume.
argument, quarrel;Streit;They have an argument every day.;Sie streiten jeden Tag.
arm;Arm;He breaks his arm during the game.;Er bricht sich den Arm während des Spiels.
art;Kunst;She loves modern art.;Sie liebt moderne Kunst.
article;Artikel, Ware, Gegenstand;The magazine article is very interesting.;Der Zeitungsartikel ist sehr interessant.
attention;Aufmerksamkeit;The teacher gets the students’ attention.;Der Lehrer erregt die Aufmerksamkeit der Schüler.
audience;Zuschauer, Publikum;The audience claps after the performance.;Das Publikum klatscht nach der Aufführung.
back;Rücken, Rückseite;He hurt his back while lifting boxes.;Er verletzt sich am Rücken beim Kartonschleppen.
bag;Tasche, Beutel;She carries her bag to school.;Sie trägt ihre Tasche zur Schule.
bakery;Bäckerei;The bakery sells fresh bread daily.;Die Bäckerei verkauft täglich frisches Brot.
bank;Bank;He deposits money at the bank.;Er zahlt Geld bei der Bank ein.
bed;Bett;She goes to bed at nine o’clock.;Sie geht um neun Uhr ins Bett.
bedroom;Schlafzimmer;The bedroom is painted in soft colors.;Das Schlafzimmer ist in sanften Farben gestrichen.
beer;Bier;He drinks a cold beer after work.;Er trinkt nach der Arbeit ein kaltes Bier.
behaviour;Verhalten;Her behaviour is polite and friendly.;Ihr Verhalten ist höflich und freundlich.
benefit;Nutzen, Vorteil;Regular exercise benefits health.;Regelmäßiger Sport hat einen positiven Nutzen für die Gesundheit.
bike;Fahrrad;He rides his bike to work every day.;Er fährt jeden Tag mit dem Fahrrad zur Arbeit.
bill;Rechnung;The waiter brings the bill after dinner.;Der Kellner bringt nach dem Abendessen die Rechnung.
blood;Blut;The doctor checks the patient’s blood.;Der Arzt untersucht das Blut des Patienten.
body;Körper, Leiche;The athlete trains his body every morning.;Der Sportler trainiert jeden Morgen seinen Körper.
book;Buch;She reads a book in the evening.;Sie liest abends ein Buch.
box;Kiste, Schachtel;He opens the box carefully.;Er öffnet die Kiste vorsichtig.
boy;Junge;The boy plays in the park.;Der Junge spielt im Park.
bread;Brot;She bakes fresh bread every weekend.;Sie backt jedes Wochenende frisches Brot.
brother;Bruder;My brother studies at the university.;Mein Bruder studiert an der Universität.
brother-in-law;Schwager;His brother-in-law helps him with the repairs.;Sein Schwager hilft ihm bei den Reparaturen.
building;Gebäude;The building is very old.;Das Gebäude ist sehr alt.
bus;Bus;She takes the bus to work every day.;Sie nimmt jeden Tag den Bus zur Arbeit.
business;Geschäft;He runs a small business.;Er führt ein kleines Geschäft.
cancer;Krebs;Doctors work hard to fight cancer.;Ärzte kämpfen hart gegen Krebs.
capital;Hauptstadt;Paris is the capital of France.;Paris ist die Hauptstadt von Frankreich.
car;Auto;He drives his car to the office.;Er fährt mit seinem Auto zum Büro.
card;Karte (Visiten-);She gives her card to the client.;Sie gibt dem Kunden ihre Karte.
career;Karriere, Werdegang;He builds his career in technology.;Er baut seine Karriere in der Technologiebranche auf.
cause;Grund, Ursache;The accident causes a traffic jam.;Der Unfall verursacht einen Stau.
century;Jahrhundert;The book covers events of the last century.;Das Buch behandelt Ereignisse des letzten Jahrhunderts.
chair;Stuhl;She sits on the chair during the meeting.;Sie sitzt während der Besprechung auf dem Stuhl.
challenge;Herausforderung;Every day brings a new challenge.;Jeder Tag bringt eine neue Herausforderung.
chance;Gelegenheit, Zufall;He gets a chance to travel every summer.;Er bekommt jeden Sommer eine Gelegenheit zu reisen.
front;Vorderseite, Vorderteil;The front of the building is impressive.;Die Vorderseite des Gebäudes ist beeindruckend.
child;Kind;The child smiles happily.;Das Kind lächelt fröhlich.
choice;Wahl;She makes a choice every day.;Sie trifft jeden Tag eine Wahl.
church;Kirche;They attend church on Sundays.;Sie besuchen sonntags die Kirche.
cinema;Kino;He goes to the cinema with his friends.;Er geht mit seinen Freunden ins Kino.
citizen;Bürger;Every citizen votes in the election.;Jeder Bürger wählt bei der Wahl.
city;(Groß-)Stadt;The city is busy during the day.;Die Stadt ist tagsüber belebt.
cloud;Wolke;A cloud covers the sun.;Eine Wolke verdeckt die Sonne.
collection;Sammlung;She has a collection of old coins.;Sie hat eine Sammlung alter Münzen.
colour;Farbe;The artist mixes every colour.;Der Künstler mischt jede Farbe.
community;Gemeinde, Gemeinschaft;The community supports local events.;Die Gemeinschaft unterstützt lokale Veranstaltungen.
company;Begleitung, Firma;He works for a large company.;Er arbeitet für eine große Firma.
condition;Bedingung;The car is in good condition.;Das Auto ist in gutem Zustand.
cost;Kosten;This item costs a lot of money.;Dieser Artikel kostet viel Geld.
country;Land;The country is known for its history.;Das Land ist für seine Geschichte bekannt.
countryside;ländlicher Raum;They enjoy living in the countryside.;Sie genießen das Leben auf dem Land.
course;Kurs, Verlauf;She attends a language course.;Sie besucht einen Sprachkurs.
court;Hof, Hinterhof, Gericht;The court hears many cases.;Das Gericht verhandelt viele Fälle.
crime;Verbrechen;A crime is reported every day.;Jeden Tag wird ein Verbrechen gemeldet.
cup;Tasse;He drinks tea from his favorite cup.;Er trinkt Tee aus seiner Lieblingstasse.
